Question	Correct Answer	Option 1	Option 2	Difficulty
Které aminokyseliny jsou esenciální?	které si tělo nedokáže vyrobit	které obsahují síru	které jsou bazické	2
Jaká je Taylorova řada pro e^x v okolí bodu 0?	∑(xⁿ/n!)	∑(xⁿ)	∑(xⁿ/n)	3
Co je to chirální centrum v organické chemii?	uhlík se 4 různými substituenty	dvojná vazba C=C	aromatický kruh	3
Který autor napsal 'Haška'?	Jaroslav Hašek	Karel Čapek	Alois Jirásek	1
Kdo byl vůdcem husitů?	Jan Žižka	Jan Hus	Prokop Holý	1
Kolik komor má srdce savců?	4	2	3	1
Jaký je rozdíl mezi 'lie' a 'lay'?	lie' je nepřechodné, 'lay' je přechodné	lie' je minulý čas od 'lay'	jsou synonyma	2
Co je princip checks and balances?	vzájemná kontrola a rovnováha mocí	systém voleb	finanční kontrola	3
Jaká je jednotka síly?	Newton (N)	Joule (J)	Watt (W)	1
Který dokument ukončil investiturní spor?	Konkordát z Worms	Diktát papeže	Zlatá bula	3
Jak se tvoří minulý čas u slovesa 'go'?	went	goed	gone	1
Jaký je rozdíl mezi aktivním a pasivním volebním právem?	aktivní = volit, pasivní = být volen	aktivní = povinné hlasování	pasivní = neúčast ve volbách	2
Jaký je mechanismus účinku enzymu katalázy?	rozklad H₂O₂ na H₂O a O₂	syntéza ATP	denaturace proteinů	3
Kolik je log₁₀(100)?	2	10	100	2
Kolik chromozomů má normální člověk?	46	44	48	1
Jaký je obvod kruhu s poloměrem 5 cm? (π ≈ 3,14)	31,4 cm	15,7 cm	78,5 cm	2
Jaká je integráál ∫ 2x dx?	x² + C	2x² + C	x + C	3
Při jaké teplotě tuhne voda?	0°C	100°C	-273°C	1
Která předložka se používá s 'Monday'?	on	in	at	1
Jaký je plural od 'child'?	children	childs	childrens	1
Kolik stupňů má pravý úhel?	90°	60°	180°	1
Jaká je jednotka elektrického odporu?	Ohm (Ω)	Ampér (A)	Volt (V)	2
Co je 'subjunctive mood'?	způsob vyjadřující hypotetické situace	minulý čas	přítomný čas	3
Kolik planet má naše sluneční soustava?	8	9	7	1
Jaký je princip RSA šifrování?	asymetrické šifrování s veřejným a soukromým klíčem	symetrické šifrování	hash funkce	3
Co je to referendum?	přímé hlasování občanů	volby do parlamentu	demonstrace	2
Kde se nachází Sahara?	severní Afrika	jižní Afrika	východní Afrika	2
Co znamená CPU?	Central Processing Unit	Computer Program Unit	Central Program User	1
Co je to dekadence v literatuře?	literatura konce 19. století zdůrazňující úpadek	literatura o válce	lidová slovesnost	3
Jaká je molární hmotnost vody H₂O?	18 g/mol	16 g/mol	20 g/mol	2
Co je to epigenetika?	dědičné změny bez změny DNA sekvence	mutace v genech	genetické rekombinace	3
Co znamená 'big'?	velký	malý	rychlý	1
Jaký literární druh představuje epos?	epika	lyrika	drama	2
Co je to SQL?	jazyk pro práci s databázemi	webová technologie	operační systém	2
Jaký je základní dokument lidských práv OSN?	Všeobecná deklarace lidských práv	Charta OSN	Ženevské konvence	1
Jaká je elektronová konfigurace atomu železa (Fe, Z=26)?	[Ar] 3d⁶ 4s²	[Ar] 3d⁸	[Ar] 3d⁵ 4s³	3
Který plyn vydechujeme při dýchání?	oxid uhličitý	kyslík	dusík	1
Jaká je chemická značka pro kyslík?	O	Ox	K	1
Kolik je 8 × 7?	56	54	58	1
Co je rychlost světla ve vakuu?	300 000 km/s	150 000 km/s	600 000 km/s	1
Kolik protonů má atom uhlíku?	6	12	8	1
Jaký je vztah mezi prací, silou a vzdáleností?	W = F × s	W = F / s	W = F + s	2
Co platí pro ideální plyn při konstantní teplotě?	pV = konstanta	p/T = konstanta	V/T = konstanta	2
Co je 'reported speech'?	nepřímá řeč	přímá řeč	otázka	2
Která bitva rozhodla o konci napoleonských válek?	Bitva u Waterloo	Bitva u Slavkova	Bitva u Lipska	2
Jaká je složitost bubble sort algoritmu?	O(n²)	O(n)	O(log n)	2
Jaká je rozloha České republiky?	78 867 km²	65 432 km²	92 345 km²	2
Co je demokracie?	vláda lidu	vláda jednoho	vláda aristokracie	1
Jaký je rozdíl mezi RAM a ROM?	RAM je přepisovatelná, ROM pouze čtení	RAM je pomalejší	ROM má větší kapacitu	2
Kdo napsal 'Lakomce'?	Molière	Shakespeare	Corneille	2
Jaká je chemická značka pro sodík?	Na	So	S	1
Jaký je rozdíl mezi federalismem a konfederalismem?	federalismus silnější centrum, konfederalismus slabší	federalismus má víc států	jsou synonyma	3
Jaký je nejvyšší vodopád světa?	Angel Falls (Venezuela)	Niagara Falls	Victoria Falls	2
Kdo je autorem 'R.U.R.'?	Karel Čapek	Josef Čapek	Jaroslav Hašek	1
Jaká je Heisenbergova relace neurčitosti?	Δx·Δp ≥ ℏ/2	Δx·Δp = ℏ	Δx + Δp ≥ ℏ	3
Co je derivace funkce f(x) = x²?	f'(x) = 2x	f'(x) = x	f'(x) = x²	2
Jak se používá 'used to'?	pro vyjádření minulých návyků	pro budoucnost	pro přítomnost	2
Co je Present Perfect Continuous?	have/has been + -ing	am/is/are + -ing	had been + -ing	2
Jaká je konstanta rovnováhy pro vodu při 25°C?	Kw = 1×10⁻¹⁴	Kw = 1×10⁻⁷	Kw = 1×10⁻¹²	3
Co je operační systém?	základní software počítače	webový prohlížeč	antivirový program	1
Kdo napsal spis 'O církevní moci'?	Jan Hus	Mistr Jeroným	Jakoubek ze Stříbra	2
Jaká je de Broglieova vlnová délka elektronu s hybností p?	λ = h/p	λ = p/h	λ = h·p	3
Jaký je rozdíl mezi 'few' a 'little'?	few' pro počitatelné, 'little' pro nepočitatelné	few' je více než 'little'	jsou synonyma	2
Který zákoník představoval právní reformu Justiniána I.?	Corpus iuris civilis	Codex Theodosianus	Digesta	3
Který hormon reguluje hladinu cukru v krvi?	inzulin	adrenalin	testosteron	2
Kolik komor má parlament ČR?	2	1	3	1
Který literární útvar je nejkratší?	aforismus	novela	povídka	1
Kdo byl první prezident Československa?	Tomáš Garrigue Masaryk	Edvard Beneš	Václav Havel	1
Ve kterém roce bylo podepsáno Mnichovské dohody?	1938	1937	1939	2
Jakou barvu má fenolftalein v kyselém prostředí?	bezbarvý	červený	modrý	1
