Question	Correct Answer	Option 1	Option 2	Difficulty
Jak se nazývala vrstva nevolníků ve feudálním systému?	Sedláci (poddaní)	Patriciát	Rytíři	1
Co symbolizoval kalich v husitském hnutí?	Rovnost věřících při přijímání	Odpor proti papeži	Památku na Jana Husa	2
Který vynález umožnil přesnější navigaci při zámořských plavbách?	Astroláb	Kompas	Kvadrant	2
Proč se v 15. století vydávali Evropané na zámořské objevy?	Hledání nových obchodních cest do Asie	Touha po dobrodružství	Útěk před morem	1
Kdo byl autorem 95 tezí přibitých na dveře kostela ve Wittenbergu?	Martin Luther	Jan Kalvín	Jan Hus	1
Jaký byl hlavní důvod islamizace na Balkáně za Osmanské nadvlády?	Tlak na držitele půdy a odvod dětí	Nucené konverze pod hrozbou smrti	Větší hospodářský rozvoj	3
Co obsahovala tzv. Dictatus Papae z roku 1075?	Nárok papeže na moc nad císaři	Kritiku prodeje odpustků	Pravidla pro křížové výpravy	2
Která bitva ukončila stoletou válku?	Bitva u Castillonu	Bitva u Azincourtu	Bitva u Kresčaku	3
Proč byli janičáři považováni za elitní osmanské jednotky?	Byli vychováni z křesťanských sirotků	Měli lepší zbraně než Evropané	Rekrutovali se z turecké šlechty	2
Jaký dokument zaručoval českým zemím náboženskou svobodu po husitských válkách?	Basilejská kompaktáta	Augsburský mír	Vestfálský mír	3
Co byla hlavní příčina černé smrti ve 14. století?	Bakterie Yersinia pestis přenášená krysami	Otrava vodou	Boží trest za hříchy	2
Jaký byl hlavní důsledek morové rány pro evropskou společnost?	Pokles populace a sociální otřesy	Rozvoj lékařství	Posílení církve	3
Kdo vedl anglickou armádu v bitvě u Azincourtu?	Jindřich V.	Richard Lví srdce	Eduard III.	1
Jaký byl hlavní cíl křížových výprav?	Osvobození Svaté země	Dobytí Byzantské říše	Expanze do Asie	2
Který panovník zavedl Pragmatickou sankci?	Karel VI.	Marie Terezie	Josef II.	2
Co byla robota v systému nevolnictví?	Povinná práce na panském majetku	Vojenská služba	Platba v naturáliích	2
Kdo byl prvním císařem Svaté říše římské?	Karel Veliký	Ota I.	Fridrich Barbarossa	1
Co vedlo ke vzniku hnutí flagelantů?	Náboženská reakce na morovou ránu	Protest proti křížovým výpravám	Odpor k papežství	3
Jaký byl hlavní přínos knihtisku?	Masové šíření informací	Uchování náboženských textů	Státní propaganda	1
Proč došlo k pogromům na Židy během moru?	Obvinění z otravy studní	Náboženská nenávist	Ekonomická rivalita	2
Kdo byl autorem myšlenky "predestinace"?	Jan Kalvín	Martin Luther	Jan Hus	2
Jaký byl hlavní rozdíl mezi Viklefovým a Husovým učením?	Viklef popíral transsubstanciaci	Hus kritizoval odpustky	Oba zastávali podobné názory	3
Co bylo hlavním cílem Tereziánských reforem?	Zvýšení efektivity státu a obrany	Zrušení monarchie	Podpora šlechty	2
Který dokument omezil moc anglického krále?	Magna Charta	Listina práv	Pragmatická sankce	2
Co bylo příčinou stoleté války?	Spor o nástupnictví ve Francii	Náboženské rozdíly	Ekonomické spory	1
Kdo vedl kontinentální armádu v americké válce za nezávislost?	George Washington	Thomas Jefferson	Benjamin Franklin	1
