Question	Correct Answer	Option 1	Option 2	Difficulty
Které století bylo charakteristické morovou pandemií v Evropě?	14. století	13. století	15. století	1
Co znamená latinské heslo 'Memento mori'?	Pamatuj na smrt	Užij dne	Bůh je s námi	2
Kdo byli flagelanti?	Příslušníci náboženského hnutí, kteří se veřejně bičovali	Hudebníci na dvorech	Obchodníci s kořením	2
Co způsobila Malá doba ledová ve 14. století?	Snížení teploty a nižší úrodu	Zvýšení teploty a sucho	Záplavy a bouře	2
Proti komu byly namířeny pogromy ve 14. století?	Proti Židům	Proti muslimům	Proti protestantům	1
V které bitvě zemřel český král Jan Lucemburský?	U Kresčaku	U Hastings	U Agincourtu	2
Jaké zbraně použili Angličané v bitvě u Kresčaku s velkým úspěchem?	Dlouhé luky	Kuše	Mušketý	1
Co tvrdila Johanka z Arku, že od Boha dostává?	Vize o vyhnání Angličanů z Francie	Pokyny k reformě církve	Návod na stavbu kostelů	1
Jak skončila Johanka z Arku?	Byla upálena Angličany	Zemřela v bitvě	Umřela na nemoc	1
Za co byla Johanka z Arku mimo jiné souzena?	Za falešné proroctví a čarodějnictví	Za krádež a loupež	Za zradu krále	2
K jakému rodu patřil Karel IV.?	Lucemburkové	Přemyslovci	Habsburkové	1
Kolikrát byl Karel IV. korunován?	Šestkrát	Třikrát	Čtyřikrát	2
Jaký nejvyšší titul získal Karel IV.?	Císař	Král	Arcivévoda	1
Kterou korunu nechal Karel IV. zhotovit pro české krále?	Svatováclavskou korunu	Královskou korunu	Císařskou korunu	1
Kde byl Jan Hus upálen?	V Kostnici	V Praze	V Říme	1
Co se stalo symbolem husitského povstání?	Kalich	Kříž	Meč	1
Jakou novinku ve způsobu boje husité používali?	Vozovou hradbu	Jízdu na koních	Dlouhé luky	2
Co znamená slovo 'hereze'?	Učení odporující církevní nauce	Svaté písmo	Církevní úřad	2
Která bitva ukončila husitské povstání?	Bitva u Lipan	Bitva u Domažlic	Bitva na Bílé hoře	2
Co jsou 'Spanilé jízdy'?	Husitské výpravy do okolních zemí	Rytířské turnaje	Svatební průvody	2
Které město dobyli Osmanští Turci a ukončili tak Byzantskou říši?	Konstantinopol	Athény	Soluň	1
Co byli janičáři?	Elitní vojáci rekrutovaní z křesťanských chlapců	Dvorní úředníci	Obchodníci s otroky	2
Který český král zahynul v bitvě proti Turkům v 16. století?	Ludvík Jagelonský	Vladislav Jagelonský	Jiří z Poděbrad	2
Ve které části Evropy renesance začala?	Severní Itálie	Francie	Německo	1
Co je humanismus?	Intelektuální hnutí zaměřené na člověka a jeho schopnosti	Náboženské hnutí	Politické hnutí	2
Kdo je mecenáš?	Podporovatel umění a vědy	Umělec	Kněz	1
Na jaké historické období se renesance snažila navázat?	Antika	Raný středověk	Románské období	1
V kterém století Kolumbus 'objevil' Ameriku?	15. století (1492)	14. století	16. století	1
Co původně Kolumbus hledal?	Cestu do Indie	Nový kontinent	Zlaté doly	1
Kdo dobyl Aztéckou říši?	Hernán Cortés	Francisco Pizarro	Vasco da Gama	2
Kdo dobyl Inckou říši?	Francisco Pizarro	Hernán Cortés	Christopher Columbus	2
Co znamená pojem 'conquistador'?	Španělský dobyvatel	Portugalský mořeplavec	Italský obchodník	1
Co je 'mestiz'?	Míšenec evropského a indiánského původu	Indiánský náčelník	Španělský guvernér	2
Jaký materiál se používal pro knihy ve středověku?	Pergamen	Papír	Papyrus	1
Kdy se papír začal v Evropě masově používat?	15. století	13. století	16. století	2
Kdo vynalezl knihtisk v Evropě?	Johannes Gutenberg	Leonardo da Vinci	Galileo Galilei	1
Kolik tezí napsal Martin Luther?	95	100	50	1
V kterém roce Luther zveřejnil své teze?	1517	1520	1515	2
Co Luther kritizoval na katolické církvi?	Prodej odpustků	Stavbu kostelů	Používání latiny	1
Co je očistec podle katolické nauky?	Místo očišťování duší před vstupem do nebe	Místo věčného zatracení	Pozemský život	2
Jaký mír ukončil náboženské války v Německu?	Augsburský mír (1555)	Vestfálský mír	Pražský mír	2
Jak dopadlo Selské povstání?	Bylo krvavě potlačeno	Selské požadavky byly splněny	Skončilo kompromisem	2
Kto založil anglikánskou církev?	Jindřich VIII.	Alžběta I.	Marie I. Krvavá	1
Proč se Jindřich VIII. rozvedl s Kateřinou Aragonskou?	Potřeboval mužského dědice	Nevěřil v manželství	Chtěl reformovat církev	1
Kolik manželek měl Jindřich VIII.?	Šest	Čtyři	Osm	1
Kdo je hlavou anglikánské církve?	Anglický král/královna	Papež	Arcibiskup	1
Která dcera Jindřicha VIII. se stala jednou z nejlepších anglických královen?	Alžběta I.	Marie I.	Anna Boleynová	1
Kdy začala Třicetiletá válka?	1618	1620	1615	1
