Question	Correct Answer	Option 1	Option 2	Difficulty
Kdo vydal v roce 1609 Rudolfův majestát zaručující náboženskou svobodu v Čechách?	Rudolf II.	Ferdinand II.	Matyáš Habsburský	1
Jaká bitva zahájila třicetiletou válku v roce 1618?	Bitva na Bílé hoře	Bitva u Lipska	Bitva u Jankova	2
Co bylo hlavním důvodem psychických problémů Rudolfa II. v pozdním období jeho vlády?	Pokročilá syfilis	Schizofrenie	Epilepsie	3
Jaký palác symbolizoval moc Ludvíka XIV.?	Versailles	Louvre	Fontainebleau	1
Co byla robota v systému nevolnictví?	Povinná práce na panském majetku	Vojenská služba	Platba v naturáliích	2
Který dokument umožnil Marii Terezii nástup na trůn?	Pragmatická sankce	Rudolfův majestát	Edikt nantský	2
Co zavedl Josef II. v roce 1781?	Zrušení nevolnictví	Povinná školní docházka	Tereziánský katastr	2
Který dokument omezil moc anglického krále po Slavné revoluci?	Listina práv (Bill of Rights)	Magna Charta	Deklarace nezávislosti	2
Co bylo hlavní příčinou americké války za nezávislost?	Daňová a politická omezení ze strany VB	Náboženské spory	Územní spory s Francií	2
Kdo vedl kontinentální armádu v americké válce za nezávislost?	George Washington	Thomas Jefferson	Benjamin Franklin	1
Kdo byl prvním konzulem ve Francii před korunovací na císaře?	Napoleon Bonaparte	Maximilien Robespierre	Louis XVI.	1
Co byla hlavní příčina průmyslové revoluce v Anglii?	Kombinace technických inovací a kapitálu	Války v Evropě	Nízké ceny obilí	2
Jaký vynález umožnil efektivní těžbu uhlí v hlubinných dolech?	Parní stroj	Vodní kolo	Větrný mlýn	2
Co je osvícenský absolutismus?	Vláda, kde panovník využívá moc pro rozvoj státu	Neomezená moc církve	Střídání panovníků volbou	3
Která bitva ukončila Napoleonské války?	Bitva u Waterloo	Bitva u Slavkova	Bitva u Jeny	1
Proč selhala kontinentální blokáda proti Anglii?	Evropské státy obchodovaly s Anglií tajně	Anglie měla silné loďstvo	Francie neměla dostatek vojska	2
Jaký byl hlavní cíl Tereziánských reforem?	Zvýšení efektivity státu a obrany	Zrušení monarchie	Podpora šlechty	2
Kdo vedl pruskou armádu během válek o Slezsko?	Fridrich II.	Marie Terezie	Leopold II.	1
Co znamenal pojem "druhé nevolnictví"?	Rozšíření nevolnictví po třicetileté válce	Zrušení nevolnictví	Přechod na nájemní práci	3
Jaký byl hlavní důvod popravy Karla I. Stuarta?	Vzpor proti parlamentu a občanská válka	Náboženské spory	Zrada ve prospěch Francie	2
Co obsahovala Listina práv (1689)?	Omezení moci krále ve prospěch parlamentu	Právo na svobodu vyznání	Povinnost volit panovníka	1
Který vynález umožnil rychlejší šíření myšlenek během reformace?	Knihtisk	Telegraf	Poštovní systém	1
Jaký byl hlavní rozdíl mezi stavovskou a absolutistickou monarchií?	Rozdělení moci vs. neomezená moc panovníka	Role církve	Ekonomický systém	2
Proč byla bitva na Bílé hoře významná pro české země?	Ztráta samostatnosti a rekatolizace	Zisk území pro Čechy	Konec třicetileté války	3
Kdo byl Albrecht z Valdštejna?	Vůdce císařských vojsk za třicetileté války	Vůdce stavovského povstání	Františkův spojenec	2
Co byl hlavní cíl kontinentální blokády?	Ekonomicky oslabit Anglii	Dobýt Španělsko	Podpora průmyslu ve Francii	1
Jaký dokument zaručoval náboženskou svobodu ve Francii?	Edikt nantský	Pragmatická sankce	Rudolfův majestát	2
Která událost vedla k vypuknutí třicetileté války?	Pražská defenestrace	Bitva na Bílé hoře	Smrt Rudolfa II.	1
Co bylo hlavním důvodem neúspěchu Napoleonova tažení do Ruska?	Taktika spálené země a zima	Převaha ruské armády	Zrada spojenců	3
Kdo byl autorem myšlenky "rozdělení moci" v osvícenství?	Montesquieu	Voltaire	Rousseau	2
Jaký byl hlavní přínos Marie Terezie pro školství?	Zavedení povinné školní docházky	Založení univerzit	Reforma církevních škol	2
Co vedlo k vzniku Ludditského hnutí?	Ničení strojů na protest proti industrializaci	Požadavek vyšších mezd	Podpora továrníků	1
Který vynález umožnil efektivní dopravu zboží během průmyslové revoluce?	Železnice	Parní loď	Telegraf	1
Co bylo hlavním cílem Vídeňského kongresu?	Obnova pořádku po Napoleonských válkách	Podpora revolucí	Rozšíření Francie	2
Kdo byl autorem Deklarace nezávislosti USA?	Thomas Jefferson	George Washington	Benjamin Franklin	1
Jaký byl hlavní důvod Velké francouzské revoluce?	Nespokojenost s absolutismem a hospodářskou krizí	Náboženské spory	Válka s Anglií	3
Co znamenal pojem "katalog" v Tereziánských reformách?	Soupis půdy pro výběr daní	Seznam škol	Rejstřík nevolníků	2
Která bitva ukončila válku za americkou nezávislost?	Bitva u Yorktownu	Bitva u Saratogy	Bitva u Trentonu	1
Proč byla průmyslová revoluce spojena s urbanizací?	Přesun lidí za prací do měst	Rozvoj zemědělství	Růst venkova	2
Kdo byl vůdcem jakobínů během Velké francouzské revoluce?	Maximilien Robespierre	Napoleon Bonaparte	Georges Danton	1
Co bylo hlavním cílem socialistických hnutí v 19. století?	Zlepšení podmínek dělnické třídy	Obnova monarchie	Podpora továrníků	2
Jaký byl hlavní přínos parního stroje pro průmysl?	Pohon strojů nezávislý na vodě/větru	Zlevnění dopravy	Rychlejší komunikace	1
Který dokument ukončil třicetiletou válku?	Vestfálský mír	Augsburský mír	Pražský mír	1
Co bylo hlavním důvodem zrušení nevolnictví v 18. století?	Potřeba volné pracovní síly pro průmysl	Nátlak církve	Revoluce nevolníků	2
Kdo byl autorem myšlenky "společenské smlouvy"?	Jean-Jacques Rousseau	John Locke	Thomas Hobbes	3
Jaký byl hlavní důvod kolonizace Ameriky evropskými mocnostmi?	Ekonomický zisk a rozšíření vlivu	Náboženská svoboda	Vědecký výzkum	1
Co bylo hlavním cílem Napoleona při korunovaci na císaře?	Legitimizace moci a stabilita	Oslabení církve	Sjednocení Evropy	1
Který vynález umožnil lepší lékařskou péči během průmyslové revoluce?	Anestézie	Rentgen	Očkování	2
Proč byla Bartolomějská noc významná?	Masakr hugenotů ve Francii	Konec náboženských válek	Nástup Jindřicha IV.	3
Co bylo hlavním cílem osvícenských filozofů?	Reformace společnosti pomocí rozumu	Obnova feudalismu	Posílení církve	2
Kdo byl prvním prezidentem USA?	George Washington	Thomas Jefferson	John Adams	1
Jaký byl hlavní důvod zavedení továrního systému?	Zvýšení efektivity výroby	Snižování nákladů na mzdy	Podpora ručních řemesel	1
Co vedlo k porážce Napoleona u Waterloo?	Společná akce evropských armád	Špatné počasí	Zrada maršálů	2
Která událost zahájila Velkou francouzskou revoluci?	Dobytí Bastily	Poprava Ludvíka XVI.	Nástup jakobínů	1
Co bylo hlavním cílem Tereziánského katastru?	Evidence půdy pro daňové účely	Registrace nevolníků	Kontrola šlechty	2
Jaký byl hlavní rozdíl mezi manufakturou a továrnou?	Ruční práce vs. strojní výroba	Velikost provozu	Materiály	1
Kdo vedl stavovské povstání v Čechách (1618)?	Jindřich Matyáš Thurn	Albrecht z Valdštejna	Fridrich Falcký	1
Proč byl vynalezen telegraf?	Rychlý přenos informací na dálku	Komunikace s loděmi	Vojenské účely	1
Co bylo hlavním důvodem vzniku dělnických hnutí?	Špatné pracovní podmínky a nízké mzdy	Nespokojenost s monarchií	Náboženské důvody	2
Který panovník zavedl pragmatickou sankci?	Karel VI.	Marie Terezie	Josef II.	1
Jaký byl hlavní přínos železnice pro společnost?	Zrychlení dopravy a propojení regionů	Snižování cen potravin	Růst měst	1
Co bylo příčinou finanční krize ve Francii před revolucí?	Vysoké státní dluhy a neefektivní daňový systém	Války s Anglií	Neúroda	3
Kdo byl autorem knihy "O duchu zákonů"?	Montesquieu	Voltaire	Diderot	2
Jaký byl hlavní důvod migrace z venkova do měst během průmyslové revoluce?	Hledání práce v továrnách	Útěk před válkami	Náboženská perzekuce	1
Co bylo hlavním cílem Napoleonského občanského zákoníku?	Sjednocení práva a rovnost občanů	Posílení moci církve	Ochrana šlechty	1
Která bitva zajistila Prusku kontrolu nad Slezskem?	Bitva u Chotusic	Bitva u Kolína	Bitva u Lehnice	2
Proč byl vynalezen parní stroj?	Efektivní čerpání vody z dolů	Pohon vozidel	Výroba elektřiny	1
Co bylo hlavním důsledkem průmyslové revoluce pro životní prostředí?	Znečištění ovzduší a vody	Rozvoj zemědělství	Ochrana přírody	2
Kdo byl vůdcem anglické revoluce?	Oliver Cromwell	Karel I.	Thomas Fairfax	1
Jaký byl hlavní cíl encyklopedistů?	Shromáždění veškerého lidského vědění	Kritika církve	Podpora monarchie	2
Co vedlo k rozpadu Svaté říše římské?	Napoleonské války	Reformace	Třicetiletá válka	3
Který vynález umožnil masovou výrobu textilu?	Přístroj na spřádání bavlny	Parní tkalcovský stav	Mechanický stav	1
Proč byla zrušena jezuitská řada v 18. století?	Kritika jejich vlivu a bohatství	Podpora reformace	Nástup osvícenství	1
Co bylo hlavním cílem vídeňského systému?	Udržení rovnováhy sil v Evropě	Potrestání Francie	Rozšíření Rakouska	2
Kdo byl autorem myšlenky "volného trhu"?	Adam Smith	Karl Marx	John Stuart Mill	1
Jaký byl hlavní důvod vzniku kolonií v Americe?	Ekonomický prospěch mateřských zemí	Náboženská svoboda	Vědecký výzkum	1
Co bylo hlavním přínosem fotografie v 19. století?	Dokumentace reality a vědecký výzkum	Umělecké využití	Komunikace	2
Která událost ukončila Napoleonské "sto dní"?	Bitva u Waterloo	Bitva u Ligny	Bitva u Quatre Bras	1
Proč byl Tereziánský katastr důležitý?	Spravedlivější daňový systém	Registrace majetku šlechty	Kontrola poddaných	2
Co bylo hlavním cílem socialistů v 19. století?	Zlepšení podmínek dělnické třídy	Svržení monarchií	Náboženské reformy	1
Kdo vedl tažení proti Napoleonovi v Rusku?	Mikhail Kutuzov	Alexander I.	Barclay de Tolly	1
Jaký byl hlavní přínos vakcíny pro společnost?	Ochrana před nemocemi	Léčba infekcí	Snižování dětské úmrtnosti	1
Co bylo příčinou krize nevolnictví v 16. století?	Nedostatek pracovních sil po morových epidemiích	Vzpoury nevolníků	Tlak státu	3
Který filozof prosazoval "přirozená práva" člověka?	John Locke	Thomas Hobbes	David Hume	1
Proč byl zaveden tovární systém?	Efektivnější organizace práce	Snižování mezd	Snížení nehodovosti	1
Co bylo hlavním důvodem zániku Svaté říše římské?	Vytvoření Rýnského spolku	Vestfálský mír	Reformace	3
Kdo byl autorem knihy "Encyklopedie"?	Denis Diderot	Voltaire	Jean le Rond d'Alembert	1
Jaký byl hlavní cíl Napoleona při tažení do Egypta?	Narušit britské obchodní cesty	Dobytí nových území	Vědecký výzkum	1
Co vedlo k porážce španělské Armady?	Špatné počasí a taktika Angličanů	Převaha španělského loďstva	Zrada spojenců	2
Který vynález umožnil rychlejší výrobu oceli?	Bessemerův konvertor	Parní dmychadlo	Elektrická pec	2
Proč byla zavedena povinná školní docházka?	Zvýšení gramotnosti a kvalifikace pracovníků	Snižování kriminality	Náboženská výchova	1
Co bylo hlavním cílem Velké francouzské revoluce?	Svoboda, rovnost, bratrství	Obnova monarchie	Rozšíření území	1
Kdo byl autorem myšlenky "dělba moci"?	Montesquieu	Rousseau	Locke	1
Jaký byl hlavní důvod vzniku dělnických tříd?	Průmyslová revoluce a tovární systém	Rušení cechů	Migrace z venkova	1
Co vedlo k pádu Bastily?	Symbolické dobytí královské moci	Hladomor v Paříži	Vojenský převrat	3
Který panovník zrušil nevolnictví v Rakousku?	Josef II.	Marie Terezie	Leopold II.	1
Proč byl vynalezen dynamit?	Bezpečnější trhací práce	Vojenské účely	Stavba železnic	1
Co bylo hlavním cílem Ludditského hnutí?	Protest proti strojům a ztrátě práce	Vyšší mzdy	Kratší pracovní doba	1
Kdo vedl pruskou armádu v sedmileté válce?	Fridrich II.	Fridrich Vilém I.	Fridrich Vilém II.	1
Jaký byl hlavní přínos železnice pro průmysl?	Rychlá doprava surovin a zboží	Snižování cen	Propojení trhů	1
Co bylo příčinou americké války za nezávislost?	Daňové zákony a omezení samosprávy	Náboženské spory	Územní spory	1
Který dokument zaručoval rovnost před zákonem ve Francii?	Deklarace práv člověka a občana	Napoleonův zákoník	Edikt nantský	1
Proč byla zavedena metrická soustava?	Sjednocení měr a vah	Usnadnění obchodu	Vědecká přesnost	1
Co bylo hlavním cílem vídeňského kongresu pro Rakousko?	Posílení vlivu v Německu a Itálii	Potrestání Francie	Rozšíření území	2
Kdo byl autorem myšlenky "neviditelné ruky trhu"?	Adam Smith	David Ricardo	Thomas Malthus	1
Jaký byl hlavní důvod vzniku továrních měst?	Koncentrace průmyslu a pracovní síly	Levná půda	Dostupnost surovin	1
Co vedlo ke zrušení jezuitského řádu?	Tlak osvícenských panovníků	Reformace	Finanční problémy	3
Která bitva zajistila nezávislost USA?	Bitva u Yorktownu	Bitva u Saratogy	Bitva u Trentonu	1
Proč byl vynalezen knihtisk?	Masové šíření informací	Uchování náboženských textů	Státní propaganda	1
Co bylo hlavním cílem Tereziánských reforem ve školství?	Vzdělanější úředníci a vojáci	Vědecký pokrok	Náboženská výchova	2
Kdo byl vůdcem jakobínů během teroru?	Maximilien Robespierre	Georges Danton	Jean-Paul Marat	1
Jaký byl hlavní přínos parního stroje pro dopravu?	Parní lokomotiva a parník	Automobil	Letadlo	1
Co vedlo k pádu Napoleona?	Porážka u Waterloo a koalice evropských mocností	Ekonomická krize	Vnitřní spory	3
Který filozof ovlivnil Deklaraci nezávislosti?	John Locke	Thomas Hobbes	Jean-Jacques Rousseau	1
Proč byla zavedena tovární disciplína?	Zvýšení produktivity práce	Kontrola dělníků	Prevence nehod	1
Co bylo hlavním cílem osvícenských panovníků?	Reformy pro posílení státu	Oslabnění církve	Podpora vědy	1
Kdo vedl tažení proti Napoleonovi v Rusku?	Mikhail Kutuzov	Alexander I.	Barclay de Tolly	1
Jaký byl hlavní důvod vzniku dělnických asociací?	Vzájemná podpora a obhajoba práv	Příprava revoluce	Kulturní aktivity	1
Co bylo příčinou francouzské finanční krize v 18. století?	Nákladné války a dvůr Ludvíka XVI.	Neúroda	Korupce	3
Který vynález umožnil lepší komunikaci na dálku?	Telegraf	Poštovní systém	Telefon	1
Proč byla zrušena robota v českých zemích?	Reformy Josefa II.	Tlak nevolníků	Průmyslová revoluce	1
Co bylo hlavním cílem Napoleona při korunovaci na císaře?	Legitimizace moci a vytvoření dynastie	Oslabení církve	Sjednocení Evropy	1
Kdo byl autorem myšlenky "všeobecné vůle"?	Jean-Jacques Rousseau	Voltaire	Montesquieu	3
Jaký byl hlavní přínos průmyslové revoluce pro zemědělství?	Mechanizace a vyšší výnosy	Více pracovních sil	Rozvoj trhů	1
Co vedlo k rozpadu Polska v 18. století?	Tři dělení mezi Rusko, Prusko a Rakousko	Vnitřní nestabilita	Napoleonské války	2
Který dokument ukončil třicetiletou válku?	Vestfálský mír	Augsburský mír	Pražský mír	1
Proč byla zavedena strojová výroba textilu?	Zvýšení produktivity a snížení nákladů	Lepší kvalita	Snížení závislosti na dovozu	1
Co bylo hlavním cílem Velké francouzské revoluce pro třetí stav?	Rovnost a odstranění privilegií	Náboženská svoboda	Ekonomická prosperita	1
Kdo byl autorem knihy "Bohatství národů"?	Adam Smith	David Ricardo	Karl Marx	1
Jaký byl hlavní důvod migrace z Irska do USA?	Hladomor a chudoba	Náboženská perzekuce	Průmyslová revoluce	1
Co vedlo k porážce Napoleona v Rusku?	Taktika spálené země a zima	Převaha ruské armády	Logistické problémy	3
Který filozof kritizoval církev a podporoval toleranci?	Voltaire	Rousseau	Diderot	1
Proč byla zavedena povinná vojenská služba?	Potřeba masových armád	Nízký počet profesionálů	Úspora nákladů	1
Co bylo hlavním cílem socialistů v 19. století?	Společnost bez třídních rozdílů	Návrat k feudalismu	Posílení monarchie	1
