
Question	Correct Answer	Option 1	Option 2	Difficulty
Který z následujících faktorů nejméně zaručuje pravdivost svědectví svědka?	Má nadřazené postavení (např. je autoritou)	Byl přímým svědkem události	Zná místní situaci a okolnosti příběhu	2
Který z uvedených historických pramenů není písemný?	Kosterní ostatky pravěkého člověka	Středověká kronika	Starověká listina	1
Co by měl historik posuzovat kromě obsahu pramene, aby zjistil jeho věrohodnost?	Osobu autora a způsob, jakým informace získal	Jen stáří a fyzický stav pramene	Pouze jazyk a styl, ve kterém je pramen napsán	3
Existuje vždy možnost získat jednoznačnou odpověď na každou historickou otázku?	Ne, často prameny nedovolují zcela jasný závěr	Ano, historici vždy dříve či později pravdu zjistí	Ano, stačí najít dostatečně starý zdroj a odpověď je zřejmá	2
Který typ historického pramene představuje Chammurapiho zákoník vytesaný do kamene?	Písemný pramen (dochovaný zákoník)	Hmotný pramen (kamenný artefakt)	Obrazový pramen (vyobrazení událostí)	1
Jak se jmenuje vědecký druh moderního člověka?	Homo sapiens sapiens	Homo habilis	Homo neanderthalensis	1
Který prvek nepatří do Darwinovy evoluční teorie?	Záměrné úsilí organismů se cíleně zdokonalit	Přirozený výběr	Náhodné mutace genů	3
Které tvrzení o periodizaci pravěku je správné?	Jednotlivá období pravěku začínala na různých místech světa v různou dobu	Doba kamenná, bronzová a železná začaly všude ve stejný čas	Období pravěku jsou definována jednotným letopočtem pro celý svět	2
Proč se vznik písma považuje za konec pravěku a počátek historie (starověku)?	Protože písemné záznamy umožňují podrobnější poznání minulosti	Protože písmo bylo vynalezeno na celém světě současně	Protože s vynálezem písma lidé přestali používat pazourek jako nástroj	2
Jak ovlivňovaly doby ledové život pravěkých lidí?	Nutily pravěké populace stěhovat se do nových částí světa a přizpůsobit se odlišným podmínkám	Neměly téměř žádný vliv na způsob života lidí	Způsobily, že lidé přestali lovit a stali se pouze zemědělci	2
Za původní a stálé místo pobytu člověka je považována:	Afrika	Asie	Evropa	1
Základním materiálem pro výrobu nástrojů v pravěku byl:	Kámen (pazourek)	Bronz	Železo	1
Proč lov menších zvířat vedl pravěké lidi k životu v menších skupinách a k používání jemnějších zbraní?	Protože k ulovení drobné zvěře byla vhodnější tichá spolupráce malých skupin a přesné nástroje (luky, harpuny)	Malá zvířata byla neškodná, takže velké lovecké tlupy nebyly potřeba	Malá kořist vedla lidi k návratu k sběračství místo lovu	3
Proč pravěcí lidé domestikovali vlka (psa)?	Pomáhal při lovu menší zvěře, lovil ve smečkách a zvyšoval úspěšnost lovu	Sloužil hlavně jako zdroj masa v dobách nouze	Využívali ho k tahu pluhů na polích	2
Co dokazuje, že pravěcí lidé měli rozvinutou kulturu?	Nálezy hudebních nástrojů, jeskynních maleb a předmětů s náboženským či pohřebním významem	Nedostatek jakýchkoli hmotných památek z pravěku	Používání pazourkových nástrojů místo kovových dokládá vysokou vyspělost	2
Věstonická Venuše je:	pravěká soška ženy nalezená na území Moravy (Dolní Věstonice)	druh pravěké zbraně podobné oštěpu	označení pro jeskynní malbu ve Francii	1
Co znamená pojem neolitická revoluce?	Přechod od kočovného lovu a sběračství k usedlému zemědělství a chovu	Vzpouru pravěkých lidí proti kmenovým náčelníkům	Objevení prvního kovu a nahrazení kamene bronzem	1
Jak neolitická revoluce souvisela s koncem doby ledové?	Oteplení a změna klimatu po době ledové umožnily rozvoj zemědělství	Prudké ochlazení na konci doby ledové přimělo lidi začít pěstovat plodiny	Vůbec nesouvisela – proběhla tisíce let po skončení doby ledové	2
Co je to Úrodný půlměsíc?	Oblast na Blízkém východě (Mezopotámie) s mimořádně úrodnou půdou, kde vzniklo rané zemědělství	Úrodné údolí řeky Nilu v Egyptě	Oblast ve tvaru půlměsíce v jihovýchodní Asii, kde začalo pěstování rýže	2
Proč trvalé usazení a zemědělství vedly k mnoha novým vynálezům?	Protože přebytek potravy umožnil specializaci lidí na řemesla a vznik nových nástrojů a technologií	Protože kočovné kmeny vynálezy neznaly a usazení lidé je začali vyvíjet z ničeho	Nevedly – většina zásadních technologií vznikla až v novověku	2
Co z uvedeného se objevilo až v důsledku neolitické revoluce?	Výroba keramiky (hrnčířství)	Používání ohně k vaření	První jeskynní malby a sošky Venuší	1
Proč bronz a později železo nahradily kámen jako hlavní materiál pro nástroje v pravěku?	Bronz a železo jsou pevnější a trvanlivější, umožnily výrobu účinnějších nástrojů a zbraní	Kámen začal být velmi vzácný a docházel	Lidé zapomněli, jak opracovat pazourek, a museli najít náhradu	2
Co je to menhir?	Velký vztyčený kamenný monument z pravěku	Pravěká mohyla navršená z hlíny a kamení	Pravěký nástroj na opracování pazourku	1
Co označuje termín hradiště v pravěkém a raně středověkém kontextu?	Opevněné sídliště nebo hrádek (opevněný areál) sloužící k obraně a útočišti	Pravěkou zbraň vrhající kameny	Středověké tržiště v podhradí královského hradu	2
Která z těchto trojic obsahuje jednu mezopotámskou civilizaci a dvě mezopotámské říše?	Sumerská civilizace – Asyrská říše – Babylonská říše	Egyptská civilizace – Perská říše – Římská říše	Indická civilizace – Chetitská říše – Čínská říše	1
V jakém přibližném období existovaly starověké říše v Mezopotámii (Asýrie, Babylón)?	Zhruba mezi lety 2000 př.n.l. a 500 př.n.l.	V 5.–1. století př.n.l.	Kolem roku 0 až 500 n.l.	2
Jak probíhala existence starověkých mezopotámských říší v čase?	Střídala období rozmachu a úpadku; říše několikrát zanikly a znovu se obnovily	Byly nepřetržitě silné a stabilní po celou dobu	trvaly vždy jen krátce a pak definitivně zanikly bez obnovení	2
Co platí o kulturách starověkých mezopotámských říší?	Měly společný základ (např. písmo, náboženství), ale konkrétní podoba se v každé říši lišila	Každá říše měla naprosto odlišnou kulturu bez jakýchkoli společných rysů	Všechny mezopotámské říše byly kulturně zcela totožné	3
Jaký je hlavní rozdíl mezi městským státem a říší?	Městský stát je jedno město s okolím, říše je rozsáhlý stát zahrnující mnoho dobytých území a národů	Městský stát je část říše podřízená císaři	Mezi městským státem a říší není rozdíl – jsou to synonyma	1
Na území kterého dnešního státu leželo starověké město Babylón?	Iráku	Egypta	Indie	1
S jakou říší je spojen panovník Chammurapi a jeho slavný zákoník?	S Babylonskou říší	S Asyrskou říší	S Perskou říší	1
Proč starověké říše jako Asýrie přesídlovaly obyvatele dobytých území daleko od jejich domova?	Aby zabránily vzpourám porobených národů – rozptýlením obyvatel oslabily jejich odpor	Aby tak poraženým zajistily lepší životní podmínky v úrodnějších oblastech	Aby si zajistily dostatek otrocké pracovní síly ve svém hlavním městě	2
Jakým písmem se psalo ve starověké Mezopotámii?	Klínovým písmem	Hieroglyfy	Latinkou	1
